fleet,sailNumber,finishTime,resultCode
CR0,7737,15:38:50,
CR0,6888,15:41:39,
CR0,1840,15:42:42,
CR0,4240,15:44:40,
CR0,1003,15:45:04,
CR0,9494,15:45:51,
CR0,1681,15:47:07,
CR2,3494,15:53:16,
CR2,977,15:54:29,
CR2,6697,15:54:54,
CR2,1357,15:55:55,
CR2,7347,15:57:44,
CR1,19109,15:57:45,
CR1,2160,15:58:18,
CR1,1206,15:58:38,
CR1,2068,15:58:44,
CR1,1242,15:59:25,
CR2,111,15:59:38,
CR1,29213,15:59:48,
CR1,8543,16:00:47,
CR1,8933,16:01:20,
CR1,1095,16:02:52,
CR1,9222,16:02:52,
CR2,33301,16:03:06,
CR2,7495,16:03:08,
CR1,53222,16:03:35,
CR2,8223,16:08:05,
CR3,5270,16:27:38,
CR3,2,16:31:03,
CR3,2133,16:31:27,
CR3,5393,16:31:50,
CR3,7115,16:31:59,
CR3,680,16:32:52,
CR3,144,16:34:03,
CR3,141,16:36:28,
CR3,35,16:43:59,
CR3,8044,16:48:08,
CR3,257,16:48:40,
CR3,2855,16:49:19,
CR3,307,16:53:20,
CR3,8001,16:56:56,
CR1,28898,,OCS
CR1,7778,,OCS
CR2,2597,,DNF
CR2,918,,DNC
CR3,1662,,DNF
CR3,5373,,DNF
