fleet,sailNumber,finishTime,resultCode
CR3,5270,17:00:43,
CR0,7737,17:01:35,
CR3,7115,17:02:15,
CR3,5393,17:02:19,
CR3,2,17:03:44,
CR3,680,17:03:46,
CR3,2133,17:04:26,
CR0,4240,17:05:55,
CR0,1840,17:05:58,
CR3,5373,17:06:21,
CR3,144,17:06:36,
CR1,1242,17:07:09,
CR0,6888,17:07:45,
CR3,141,17:09:28,
CR0,1681,17:10:02,
CR1,8933,17:10:43,
CR1,1206,17:10:57,
CR1,19109,17:12:19,
CR1,2160,17:13:04,
CR3,35,17:13:18,
CR1,29213,17:13:27,
CR0,1003,17:13:48,
CR1,2068,17:14:31,
CR0,9494,17:19:59,
CR1,8543,17:20:21,
CR1,9222,17:20:31,
CR1,28898,17:21:10,
CR1,7778,17:21:26,
CR2,3494,17:21:50,
CR2,6697,17:21:52,
CR1,1095,17:24:26,
CR3,2855,17:28:19,
CR1,53222,17:28:57,
CR2,7347,17:29:00,
CR2,111,17:29:04,
CR2,2597,17:30:13,
CR2,33301,17:31:22,
CR2,977,17:32:47,
CR2,1357,17:33:16,
CR3,307,17:34:38,
CR2,7495,17:35:10,
CR2,918,17:36:45,
CR3,257,17:36:49,
CR3,8044,17:37:24,
CR3,1662,17:41:44,
CR2,8223,17:42:07,
CR3,8001,,DNC
