fleet,sailNumber,finishTime,resultCode
CR3,5270,12:03:51,
CR3,144,12:05:56,
CR3,7115,12:06:06,
CR3,680,12:06:17,
CR3,2,12:07:21,
CR3,5393,12:09:02,
CR3,2133,12:09:15,
CR3,141,12:09:51,
CR3,5373,12:11:22,
CR3,35,12:16:53,
CR3,8001,12:17:51,
CR3,2855,12:18:28,
CR3,257,12:21:27,
CR3,307,12:22:39,
CR3,8044,12:23:24,
CR0,6888,13:17:08,
CR0,7737,13:26:03,
CR0,4240,13:31:19,
CR0,1840,13:33:27,
CR0,9494,13:37:47,
CR1,19109,13:38:01,
CR1,1206,13:39:22,
CR0,1003,13:39:35,
CR1,2160,13:39:58,
CR1,2068,13:40:14,
CR0,1681,13:42:42,
CR1,29213,13:43:34,
CR1,8543,13:44:31,
CR1,1242,13:44:58,
CR1,8933,13:46:31,
CR1,28898,13:50:39,
CR1,53222,13:51:41,
CR1,1095,13:51:44,
CR1,9222,13:51:47,
CR2,3494,13:53:32,
CR2,6697,13:59:16,
CR2,977,14:02:21,
CR2,1357,14:06:49,
CR2,2597,14:12:04,
CR2,111,14:12:22,
CR2,7347,14:13:17,
CR2,7495,14:14:47,
CR1,7778,,DNC
CR2,33301,,DNF
CR2,8223,,DNF
CR2,918,,DNC
CR3,1662,,DNC
