fleet,sailNumber,finishTime,resultCode
CR3,5270,12:47:38,
CR3,5393,12:51:17,
CR3,2133,12:53:39,
CR3,144,12:53:50,
CR3,7115,12:53:51,
CR3,2,12:55:12,
CR3,680,12:58:29,
CR3,141,13:00:59,
CR3,35,13:02:51,
CR3,8044,13:05:15,
CR3,2855,13:05:26,
CR3,5373,13:05:41,
CR3,257,13:07:04,
CR3,8001,13:07:41,
CR3,307,13:14:03,
CR3,1662,13:16:45,
CR0,7737,13:22:10,
CR0,1840,13:22:35,
CR0,1003,13:23:12,
CR0,9494,13:23:33,
CR0,6888,13:23:58,
CR0,4240,13:24:14,
CR0,1681,13:24:34,
CR1,1242,13:26:40,
CR2,977,13:27:21,
CR1,19109,13:27:35,
CR2,6697,13:28:23,
CR1,28898,13:28:43,
CR2,3494,13:29:01,
CR1,8543,13:29:16,
CR2,2597,13:29:22,
CR2,1357,13:29:27,
CR1,9222,13:29:35,
CR2,7347,13:29:40,
CR1,29213,13:29:48,
CR1,1206,13:29:51,
CR1,2068,13:29:56,
CR2,111,13:30:20,
CR1,2160,13:30:35,
CR1,8933,13:30:45,
CR1,1095,13:32:02,
CR2,7495,13:32:02,
CR1,7778,13:33:17,
CR1,53222,13:33:18,
CR2,33301,13:35:53,
CR2,8223,13:38:49,
CR2,918,,DNC
